ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Japanese_language	: give "please Japanese language to Mr ?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Will a japanese person use vocabulary and inflections of the honorific register to refer to the in-group superior and Japanese language`s or Japanese language`s speech and actions ?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Thus , can polite korean speech sound very presumptuous when translated verbatim into Japanese , as in korean Japanese language is acceptable and normal to say things like "our Mr ?	NULL	NULL	NULL	data/set5/a6
Lima	Is Lima the capital of Peru?	Yes.	easy	easy	data/set3/a4
Lima	Is the Museum of Gold in Lima?	Yes.	easy	hard	data/set3/a4
Lima	Does Lima have volleyball venues?	Yes.	easy	hard	data/set3/a4
Lima	When was Lima founded?	January 18,1535.	medium	medium	data/set3/a4
Lima	Where is the Park of the Reserve located?	Near the downtown area.	medium	medium	data/set3/a4
Lima	What is a colectivo?	Automobiles that renders express service on some major roads of the Lima Metropolitan Area.	medium	medium	data/set3/a4
Lima	Is the National University of San Marcos in Lima?	Yes.	hard	hard	data/set3/a4
Lima	Has the San Lorenzo Megaport Project been completed?	No.	hard	hard	data/set3/a4
Lima	How many years ago was the Lima Stock Exchange the most profitable in the world?	Three	NULL	hard	data/set3/a4
Lima	Is rainfall very low?	Yes.	NULL	easy	data/set3/a4
Lima	Is lima the capital  and  largest  city  of Peru?	Yes.	NULL	easy	data/set3/a4
Lima	Is The GDP  per capita in Lima $ 7,600  /  ref )?	Yes.	NULL	easy	data/set3/a4
Lima	The Spanish Crown named Pizarro governor of what?	Hemming.	NULL	medium	data/set3/a4
Lima	Is it true that the ideas of the Enlightenment shaped the development of the city?	Yes.	NULL	easy	data/set3/a4
Lima	The ideas of the Enlightenment shaped the development of what?	the city, Lima	NULL	medium	data/set3/a4
London	Is London the capital of the United Kingdom?	Yes	easy	easy	data/set3/a1
London	Is London the capital of the United Kingdom?	Yes	easy	easy	data/set3/a1
London	Does London's population draw from a wide range of religions?	Yes	easy	easy	data/set3/a1
London	Does London's population draw from a wide range of religions?	Yes	easy	easy	data/set3/a1
London	Did Caunte take control of the English throne in 101?	No	easy	easy	data/set3/a1
London	Over how many languages are spoken in London?	Over 300 languages are spoken in london	medium	medium	data/set3/a1
London	Over how many languages are spoken in London?	Over 300	medium	easy	data/set3/a1
London	What had the Anglo-Saxons created by the 600s?	By the 600s, the Anglo-Saxons had created a new settlement called Lundenwic.	medium	medium	data/set3/a1
London	What had the Anglo-Saxons created by the 600s?	a new settlement called Lundenwic	medium	easy	data/set3/a1
London	What city in the UK has been subjected to bouts of terrorism?	London has been subjected to bouts of terrorism.	hard	hard	data/set3/a1
London	What city in the UK has been subjected to bouts of terrorism?	London	hard	hard	data/set3/a1
London	What countries did James VI of Scotland unite?	James VI of Scotland united Scotland and England.	hard	hard	data/set3/a1
London	What countries did James VI of Scotland unite?	England and Scotland	hard	too hard	data/set3/a1
London	How did civil wars affect England during the Middle Ages?	London remained relatively untouched	hard	medium	data/set3/a1
Nassau	Is Nassau Sound a body of water in Maine?	no	easy	easy	data/set3/a2
Nassau	Was Nassau placed in operation by Robert Fulton?	yes	easy	easy	data/set3/a2
Nassau	Who was Fort Nassau built by?	the Dutch	medium	medium	data/set3/a2
Nassau	What is Nassau Coliseum?	an arena in Uniondale, New York, USA	medium	medium	data/set3/a2
Nassau	What was the Dead or Alive 4 fighting arena modeled after?	a Magnetic Accelerator Cannon station from Halo 2	medium	medium	data/set3/a2
Nassau	Is Nassau Range the highest mountain range in the world?	no	hard	easy	data/set3/a2
Nassau	Is Nassau County named after a German town?	yes	hard	hard	data/set3/a2
Nassau	Does the United States have a base near Glasgow?	yes	hard	hard	data/set3/a2
Ottawa	Is Ottawa the capital of Canada?	Yes	easy	easy	data/set3/a5
Ottawa	Does Ottawa sit on the Ottowa River?	Yes	easy	easy	data/set3/a5
Ottawa	Do small tremors occur in Ottawa?	Yes	easy	hard	data/set3/a5
Ottawa	What is Ottawa's population?	1,190,982	medium	medium	data/set3/a5
Ottawa	What are Ottawa's primary industries?	Logging and lumber	medium	hard	data/set3/a5
Ottawa	What is Ottawa's junior ice hockey team?	the Ottawa 67's	medium	medium	data/set3/a5
Ottawa	What is Ottawa's major league hockey team?	the Ottawa Senators	hard	medium	data/set3/a5
Ottawa	What are Carleton University's athletic teams called?	Carleton Ravens	hard	medium	data/set3/a5
Ottawa	Is Ottawa colder than Moscow in January?	Yes	hard	easy	data/set3/a5
Ottawa	Is Ottawa on a river?	yes	easy	easy	data/set3/a5
Ottawa	Is Ottawa on a river?	yes	easy	easy	data/set3/a5
Ottawa	Does it snow in Ottawa?	yes	easy	easy	data/set3/a5
Ottawa	Does it snow in Ottawa?	yes	easy	easy	data/set3/a5
Ottawa	Was there a cholera outbreak in 1832?	yes	easy	easy	data/set3/a5
Ottawa	Was there a cholera outbreak in 1832?	yes	easy	easy	data/set3/a5
Ottawa	Who is the mayor of Ottawa?	Larry O'Brien	medium	medium	data/set3/a5
Ottawa	Who is the mayor of Ottawa?	Larry O'Brien	medium	medium	data/set3/a5
Ottawa	How many townships are in Ottawa?	eleven	medium	medium	data/set3/a5
Ottawa	How many townships are in Ottawa?	eleven	medium	easy	data/set3/a5
Ottawa	What's the main highway in Ottawa?	Highway 417, The Queensway	medium	medium	data/set3/a5
Ottawa	What's the main highway in Ottawa?	provinical Highway 417	medium	medium	data/set3/a5
Ottawa	What was Ottawa's name in 1850?	Bytown	hard	hard	data/set3/a5
Ottawa	What was Ottawa's name in 1850?	Bytown	hard	hard	data/set3/a5
Ottawa	Based on the average, in what year will the next small tremor occur in Ottawa?	2009	hard	hard	data/set3/a5
Ottawa	Based on the average, in what year will the next small tremor occur in Ottawa?	2009	hard	hard	data/set3/a5
Ottawa	Where were immigrants from in the 1800s?	Irish	hard	hard	data/set3/a5
Ottawa	Where were immigrants from in the 1800s?	Ireland	hard	hard	data/set3/a5
Ottawa	Are there also discussions of having OC Transpo Light Rail and STO Transitway networks linking on the Gatineau side of the Ottawa River ?	Yes.	NULL	easy	data/set3/a5
Otter	Does the giant otter live in South America?	Yes	easy	easy	data/set1/a7
Otter	Does the giant otter live in South America?	yes	easy	easy	data/set1/a7
Otter	Do otters have claws?	Yes	easy	easy	data/set1/a7
Otter	Do otters have claws?	yes	easy	easy	data/set1/a7
Otter	Do otters eat fish?	Yes	easy	easy	data/set1/a7
Otter	Do otters eat fish?	yes	easy	easy	data/set1/a7
Otter	What is an otter's den called?	A holt	medium	medium	data/set1/a7
Otter	What is an otter's den called?	holt	medium	medium	data/set1/a7
Otter	Where do sea otters live?	Beside water	medium	medium	data/set1/a7
Otter	Where do sea otters live?	Pacific coast of North America	medium	medium	data/set1/a7
Otter	Why are otters vulnerable to prey depletion?	Prey-dependence	medium	medium	data/set1/a7
Otter	Why are otters vulnerable to prey depletion?	prey-dependency	medium	medium	data/set1/a7
Otter	Do otters enjoy playing?	Yes	hard	hard	data/set1/a7
Otter	Do otters enjoy playing?	yes	hard	easy	data/set1/a7
Otter	Do sea otters have a layer of fat like whales?	No	hard	hard	data/set1/a7
Otter	Do sea otters have a layer of fat like whales?	no	hard	easy	data/set1/a7
Otter	Is the otter in the same family as the badger?	Yes	hard	hard	data/set1/a7
Otter	Is the otter in the same family as the badger?	yes	hard	easy	data/set1/a7
Santiago	Are there any cities named Santiago in the United States?	yes	easy	hard	data/set3/a6
Santiago	Are there any cities named Santiago in the United States?	Yes	easy	hard	data/set3/a6
Santiago	Was Santiago the name of an indie/punk band?	yes	easy	easy	data/set3/a6
Santiago	Was Santiago the name of an indie/punk band?	Yes	easy	easy	data/set3/a6
Santiago	Is Santiago a name in Spanish?	yes	easy	easy	data/set3/a6
Santiago	Is Santiago a name in Spanish?	Yes	easy	medium	data/set3/a6
Santiago	What is the origin of the name Santiago?	Spanish for St. James	medium	hard	data/set3/a6
Santiago	What is the origin of the name Santiago?	sanit + iago, James	medium	hard	data/set3/a6
Santiago	Who has released an album or song named Santiago?	The Chieftains; Loreena McKennitt	medium	medium	data/set3/a6
Santiago	Who has released an album or song named Santiago?	The Chieftains and Loreena McKennitt	medium	hard	data/set3/a6
Santiago	What is the Order of Santiago?	a Spanish knightly order	medium	medium	data/set3/a6
Santiago	What is the Order of Santiago?	a Spanish Knightly order	medium	medium	data/set3/a6
Santiago	What notable people have been named Santiago?	Benito Santiago, Hugo Santiago, Joey Santiago, Liliana Santiago, Rafael Santiago Maria, Santiago Caballero, Santiago Cabrera; James, son of Zebedee	hard	hard	data/set3/a6
Santiago	What notable people have been named Santiago?	Benito, Hugo, and others	hard	hard	data/set3/a6
Santiago	What fictional stories include a main character named Santiago?	Gears of War, Rainbow Six: Covert Operations Essentials, Death Foretold by Gabriel García Márquez, Ernest Hemingway's The Old Man and the Sea, the television series Babylon 5, Anne Rice's novel Interview with the Vampire, aulo Coelho's The Alchemist (novel), the television show Friday Night Lights	hard	hard	data/set3/a6
Santiago	What fictional stories include a main character named Santiago?	Interview with the Vampire, The Alchemist, and others	hard	hard	data/set3/a6
Santiago	Is Santiago the national capital of a country?	Yes	NULL	easy	data/set3/a6
Santiago	Is santiago Spanish for St. James  ( from santo ,  saint  +  iago ,  James  )?	Yes	NULL	easy	data/set3/a6
Santiago	Is santiago Spanish for St. James?	Yes	NULL	easy	data/set3/a6
Santiago	What is Santiago?	Santiago is Spanish for St. James. It is also the name of places in Argentina, Brazil, Cape Verde, Chile, Colombia, Costa Rica, Cuba, the Dominican Republic, Ecuador, Guatemala, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, the Philippines, Portugal, Spain, the United States, Venezuela, and the Amazon. It is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a DJ, an actor, and James, son of Zebedee. Fictional people with this name include a character from Gears of War, a character from Chronicle of a Death Foretold, a character in Old Man and the Sea, a character in Babylon 5, a character in Interview with the Vampire, the main character of The Alchemist, and a character on Friday Night Lights. There has also been a battle of Santiago de Cuba, a couple of bands named Santiago, an Order of Santiago, and "Santiago" as a shortened form of the Reconquista battle cry.	NULL	too hard	data/set3/a6
Spanish_language	Are countries without in red?	NULL	NULL	NULL	data/set5/a8
Spanish_language	However, is English the official  language?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Are most Spanish  speakers in Latin America?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Are countries where is a regionalism in green?	NULL	NULL	NULL	data/set5/a8
Spanish_language	The deeper  the blue  is, is the more  predominant?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Are these marked with an asterisk  ( *  )?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Did the language lose its official status?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Where do about 400 million people speak Spanish?	NULL	NULL	NULL	data/set5/a8
Spanish_language	What kind of instrument is the spanish language?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is the lexical similarity with Italian estimated at 82%?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is spanish an official language of the European Union?	NULL	NULL	NULL	data/set5/a8
Spanish_language	What is an official language of the European Union?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is it true that mexico contains the largest population of Spanish speakers?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Mexico contains the largest population of what?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is this phenomenon notable in Brazil?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is spanish one of the official languages?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is universidad de México Instituto Cervantes Spanish language of Spain?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Is spanish language of the European Union?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Pasan en consecuencia , las palabras que comienzan por estas dos letras , o que las contienen , a alfabetizarse en los lugares que les corresponden dentro de la c y de la l , respectivamente ?	NULL	NULL	NULL	data/set5/a8
Spanish_language	Allow the common features of the writing systems of the Romance languages for a greater amount of interlingual reading comprehension than oral communication would ?	NULL	NULL	NULL	data/set5/a8
Swan	Does the Australian Black Swan have white feathers on its wings?	yes	easy	medium	data/set1/a10
Swan	Does the Australian Black Swan have white feathers on its wings?	Yes	easy	medium	data/set1/a10
Swan	Do swans belong to the family Anatidae?	yes	easy	easy	data/set1/a10
Swan	Do swans belong to the family Anatidae?	Yes	easy	easy	data/set1/a10
Swan	Can black swans swim with only one leg?	yes	easy	easy	data/set1/a10
Swan	Can black swans swim with only one leg?	Yes	easy	medium	data/set1/a10
Swan	What are young swans known as?	cygnets	medium	medium	data/set1/a10
Swan	What are young swans known as?	Cygnets	medium	easy	data/set1/a10
Swan	What is the Irish legend of the Children of Lir about?	a stepmother transforming her children into swans for 900 years	medium	medium	data/set1/a10
Swan	What is the Irish legend of the Children of Lir about?	A stepmother transforming her children into swans for 900 years	medium	medium	data/set1/a10
Swan	What is the Sanskrit word for swan?	hamsa or hansa	medium	medium	data/set1/a10
Swan	What is the Sanskrit word for swan?	Hamsa or hansa	medium	easy	data/set1/a10
Swan	Which album was the song "The Bonny Swans" from?	The Mask and Mirror	hard	medium	data/set1/a10
Swan	Which album was the song "The Bonny Swans" from?	The Mask and Mirror	hard	easy	data/set1/a10
Swan	What is the Polish word for swan?	&#321;ab&#281;d&#378;	hard	hard	data/set1/a10
Swan	What is the Polish word for swan?	Łabędź	hard	easy	data/set1/a10
Swan	Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?	Swan Lake	hard	hard	data/set1/a10
Swan	Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?	Swan Lake	hard	hard	data/set1/a10
Swan	Are swan birds of the family Anatidae?	Yes.	easy	easy	data/set1/a10
Swan	Are swan birds of the family Anatidae?	Yes	easy	easy	data/set1/a10
Swan	Do swans feature strongly in mythology?	Yes.	easy	easy	data/set1/a10
Swan	Do swans feature strongly in mythology?	Yes	easy	easy	data/set1/a10
Swan	Is the Trumpeter Swan the largest bird?	It is the largest bird of North America.	easy	easy	data/set1/a10
Swan	Is the Trumpeter Swan the largest bird?	The Trumpeter Swan is the largest bird of North America	easy	medium	data/set1/a10
Swan	What is the name of young swans?	Cygnets.	medium	medium	data/set1/a10
Swan	What is the name of young swans?	Cygnets	medium	medium	data/set1/a10
Swan	Where is the word "swan" derived from?	Old English swan.	medium	medium	data/set1/a10
Swan	Where is the word "swan" derived from?	The Old English word "swan," derived from the Indo-European root "*swen", meaning to sound or to sing	medium	medium	data/set1/a10
Swan	What is the best known story about a swan?	The Ugly Duckling fable.	medium	medium	data/set1/a10
Swan	What is the best known story about a swan?	The Ugly Duckling	medium	medium	data/set1/a10
